address,href,parcel,price,rooms,sqm,zip,lon,lat
Anne Frankstraat 260 1011 MP Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40682884-anne-frankstraat-260/?navigateSource=resultlist,120,885,3,120,1011,4.9084397,52.36981180000001
IJdoornlaan 855 1025 AZ Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40730287-ijdoornlaan-855/?navigateSource=resultlist,103,412,3,103,1025,4.9444553,52.3994447
Westerstraat 246 II 1015 MT Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40739354-westerstraat-246-ii/?navigateSource=resultlist,50,350,2,50,1015,4.880390999999999,52.37799
Boerhaaveplein 12 III 1091 AS Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40725513-boerhaaveplein-12-iii/?navigateSource=resultlist,129,775,4,129,1091,NA,NA
Stadionplein 19 4 1076 CG Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40711481-stadionplein-19-4/?navigateSource=resultlist,61,398,3,61,1076,4.8583763,52.3444538
Keizersgracht 333 E 1016 EG Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40716486-keizersgracht-333-e/?navigateSource=resultlist,126,800,4,126,1016,4.8850088,52.3694631
Nieuwezijds Voorburgwal 157 I+II 1012 RK Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40673863-nieuwezijds-voorburgwal-157-i-ii/?navigateSource=resultlist,169,1115,4,169,1012,4.8909378,52.3723642
Weesperzijde 2 E 1091 EA Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40601734-weesperzijde-2-e/?navigateSource=resultlist,58,379.011,2,58,1091,4.906283,52.3588111
Passeerdersstraat 134 1016 ZA Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40744668-passeerdersstraat-134/?navigateSource=resultlist,75,350,2,75,1016,NA,NA
Leerdamhof 48 1108 BD Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40739919-leerdamhof-48/?navigateSource=resultlist,64,175,2,64,1108,4.975211499999999,52.3074725
Ingogostraat 10 hs 1092 HZ Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40739851-ingogostraat-10-hs/?navigateSource=resultlist,58,375,3,58,1092,4.9257406,52.3553384
Cornelis Trooststraat 17 H 1072 JA Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-86189756-cornelis-trooststraat-17-h/?navigateSource=resultlist,72,495,3,72,1072,4.8874102,52.35052289999999
Fresiastraat 18 1032 BG Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40711011-fresiastraat-18/?navigateSource=resultlist,71,275,3,71,1032,4.9158402,52.3974427
Lomanstraat 95 Hs 1075 PZ Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-86175052-lomanstraat-95-hs/?navigateSource=resultlist,140,1250,5,140,1075,4.857878299999999,52.35063239999999
Balboastraat 22 -A 1057 VW Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40618178-balboastraat-22-a/?navigateSource=resultlist,76,475,4,76,1057,NA,NA
Willem de Zwijgerlaan 334 c12 1055 RD Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40675219-willem-de-zwijgerlaan-334-c12/?navigateSource=resultlist,53,225,1,53,1055,4.8607922,52.3809062
Iepenweg 27 C 1091 JL Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40737952-iepenweg-27-c/?navigateSource=resultlist,73,400,3,73,1091,4.914467399999999,52.356714
Weesperzijde 83 -1 1091 EJ Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40714411-weesperzijde-83-1/?navigateSource=resultlist,103,725,3,103,1091,4.9103209,52.3530492
Frans van Mierisstraat 121 B 1071 RR Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40621057-frans-van-mierisstraat-121-b/?navigateSource=resultlist,110,925,3,110,1071,NA,NA
Minervaplein 4 4 1077 TN Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40603735-minervaplein-4-4/?navigateSource=resultlist,151,1500,5,151,1077,NA,NA
Linnaeushof 43 -1C 1098 KM Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40693406-linnaeushof-43-1c/?navigateSource=resultlist,148,1095,3,148,1098,4.935579,52.35232930000001
Spuistraat 29 1012 SR Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40695467-spuistraat-29/?navigateSource=resultlist,65,390,2,65,1012,NA,NA
Bouvigne 3 -1 1083 BN Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40733745-bouvigne-3-1/?navigateSource=resultlist,65,350,3,65,1083,4.8850165,52.3269186
Koninginneweg 149 A 1075 CM Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40614817-koninginneweg-149-a/?navigateSource=resultlist,195,1475,4,195,1075,4.8627958,52.3530622
Nieuwe Herengracht 17 3 1011 RL Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40694385-nieuwe-herengracht-17-3/?navigateSource=resultlist,105,875,4,105,1011,4.9025873,52.3662563
Keizersgracht 590 C 1017 EN Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40693435-keizersgracht-590-c/?navigateSource=resultlist,114,925,3,114,1017,4.889018099999999,52.3641683
Vierwindenstraat 60 1013 LB Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40489856-vierwindenstraat-60/?navigateSource=resultlist,87,500,2,87,1013,NA,NA
Prinsengracht 468 1017 KG Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-49370984-prinsengracht-468/?navigateSource=resultlist,335,4e3,4,335,1017,4.8847998,52.3644816
Maarten Harpertszoon Trompstraat 46 III-IV 1056 JC Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40732886-maarten-harpertszoon-trompstraat-46-iii-iv/?navigateSource=resultlist,84,450,3,84,1056,4.8629766,52.3718575
Rijswijkstraat 63 1062 ER Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40739144-rijswijkstraat-63/?navigateSource=resultlist,76,275,3,76,1062,4.8409932,52.3499535
Govert Flinckstraat 183 -2hoog 1073 BT Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40704193-govert-flinckstraat-183-2hoog/?navigateSource=resultlist,85,500,4,85,1073,4.8948871,52.35543759999999
Kinkerstraat 246 B 1053 GA Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40698114-kinkerstraat-246-b/?navigateSource=resultlist,80,475,3,80,1053,4.8652032,52.3655689
Geldersekade 119 II 1011 EN Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40604097-geldersekade-119-ii/?navigateSource=resultlist,70,425,2,70,1011,4.9011768,52.3729525
Valeriusstraat 61 -H 1071 ME Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40699665-valeriusstraat-61-h/?navigateSource=resultlist,189,1875,8,189,1071,4.8702606,52.3544509
Barentszstraat 335 1013 NN Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-49986321-barentszstraat-335/?navigateSource=resultlist,63,380,2,63,1013,4.8862215,52.38863490000001
Spuistraat 105 E 1012 SV Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-86194682-spuistraat-105-e/?navigateSource=resultlist,61,365,2,61,1012,4.8909840000000004,52.3748
Leerdamhof 443 1108 CL Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-86211755-leerdamhof-443/?navigateSource=resultlist,100,275,4,100,1108,4.9777359,52.3056208
Groetstraat 143 1024 VC Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40856885-groetstraat-143/?navigateSource=resultlist,62,225,3,62,1024,4.9516731,52.3932029
Orteliusstraat 111 3 1057 AV Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40733569-orteliusstraat-111-3/?navigateSource=resultlist,50,295,3,50,1057,4.8502293,52.3674378
Blauwvoetstraat 41 1061 BM Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40730269-blauwvoetstraat-41/?navigateSource=resultlist,129,525,4,129,1061,4.8395003,52.3778298
Singel 155 sous 1012 VK Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40711719-singel-155-sous/?navigateSource=resultlist,53,300,2,53,1012,NA,NA
Eerste Jan van der Heijdenstraat 114 3 1072 VB Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40759142-eerste-jan-van-der-heijdenstraat-114-3/?navigateSource=resultlist,129,850,4,129,1072,NA,NA
Albert Cuypstraat 35 -II 1072 CL Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40730688-albert-cuypstraat-35-ii/?navigateSource=resultlist,114,690,6,114,1072,4.887981300000001,52.3547181
Goeman Borgesiusstraat 2 C 1067 LN Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40714190-goeman-borgesiusstraat-2-c/?navigateSource=resultlist,53,260,3,53,1067,4.8002426,52.3771249
Edisonstraat 41 huis 1098 TD Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40716773-edisonstraat-41-huis/?navigateSource=resultlist,71,350,4,71,1098,4.9458987,52.35168150000001
Borneolaan 310 1019 KL Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-86099849-borneolaan-310/?navigateSource=resultlist,72,365,3,72,1019,4.9374737,52.3707885
Schubertstraat 40 H 1077 GV Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40629796-schubertstraat-40-h/?navigateSource=resultlist,282,2e3,7,282,1077,4.877651699999999,52.3467545
Slotermeerlaan 24 B 1064 HB Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-85270835-slotermeerlaan-24-b/?navigateSource=resultlist,142,389.5,5,142,1064,4.8191139,52.3748635
Visseringstraat 21 C 1051 KH Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-86211822-visseringstraat-21-c/?navigateSource=resultlist,117,600,3,117,1051,4.869835399999999,52.3774867
Barbusselaan 9 1102 TS Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40733710-barbusselaan-9/?navigateSource=resultlist,84,240,4,84,1102,4.943664,52.32147819999999
